N,NODENAME,X,Y,GEOGKEY,TAZID
10008,Draper,423401.1517,4485422.991,423401_4485422,2117
10010,South Jordan,423760.0,4490625.0,423760_4490625,1973
10016,Murray Central,424253.3785,4501376.055,424253_4501376,1633
10019,Salt Lake Central,423276.393,4512777.323,423276_4512777,1024
10021,North Temple,423610.8845,4513767.165,423610_4513767,1027
10025,Woods Cross,423899.0206,4525990.539,423899_4525990,863
10031,Farmington,423905.0949,4537796.948,423905_4537796,780
10035,Layton,418900.9502,4545515.674,418900_4545515,737
10036,Clearfield,414829.2683,4549753.942,414829_4549753,663
10042,Roy,412820.7567,4560266.171,412820_4560266,500
10046,Ogden,417871.0,4564006.0,417871_4564006,368
10050,Pleasant View,415433.0081,4573378.475,415433_4573378,253
10057,Perry,412073.8009,4590112.294,412073_4590112,99
10058,Brigham City South,413030.478,4593315.52,413030_4593315,75
10059,Brigham City North,414067.3335,4595900.764,414067_4595900,50
15011,Daybreak Parkway,414410.87395,4488306.61369,414195_4488576,2010
15014,South Jordan Parkway,413272.85,4490227.255,413272_4490227,1967
15016,5651 W Old Bingham H,413317.1696,4491658.933,413317_4491658,1785
15024,4773 W Old Bingham H,415054.0,4492802.0,415054_4492802,1773
15036,Jordan Valley,417814.0,4494239.0,417814_4494239,1760
15041,Draper Town Center,427118.866,4486445.849,427118_4486445,2123
15042,2700 W Sugar Factory,419011.0,4494681.0,419011_4494681,1742
15044,Kimballs Lane,426156.8878,4487686.105,426156_4487686,2107
15046,Crescent View,425630.3295,4488641.506,425630_4488641,1930
15050,West Jordan City Cen,420804.0,4495330.0,420804_4495330,1744
15051,Sandy Civic Center,425124.0,4491486.0,425124_4491486,1898
15052,Historic Gardner,421813.0,4495654.0,421813_4495654,1745
15053,Sandy Expo,424991.0,4492658.0,424991_4492658,1875
15056,Historic Sandy,425051.0,4493564.0,425051_4493564,1876
15059,Bingham Junction,422719.0,4496674.0,422719_4496674,1798
15062,Midvale Center,424468.0,4495877.0,424468_4495877,1812
15063,Midvale Fort Union,424018.0,4496873.0,424018_4496873,1802
15068,Fashion Place West,424062.0,4498460.0,424062_4498460,1669
15069,West Valley Central,419002.0,4505156.0,419002_4505156,1383
15072,Decker Lake,419836.0,4506302.0,419836_4506302,1369
15077,Murray North,424447.0,4503260.0,424447_4503260,1619
15078,Redwood Junction,420595.0,4507117.0,420595_4507117,1351
15080,Meadowbrook,424237.0,4504457.0,424237_4504457,1491
15085,River Trail,421974.0,4508111.0,421974_4508111,1331
15086,Millcreek,424229.0,4505924.0,424229_4505924,1473
15093,Airport,417036.556,4514921.869,417036_4514921,965
15095,Central Pointe,424260.0,4508556.0,424260_4508556,1444
15097,Main St,424660.379,4508298.843,424660_4508298,1455
15098,300 East,425035.5428,4508281.301,425035_4508281,1458
15099,500 East,425539.2448,4508287.871,425539_4508287,1460
15101,1940 W North Temple,420317.0,4513804.0,420317_4513804,1016
15102,700 East,426045.1368,4508294.441,426045_4508294,1283
15103,900 East,426391.1582,4508351.381,426391_4508351,1271
15104,Ballpark,424288.0,4510488.0,424288_4510488,1191
15105,Power,421101.0,4513789.0,421101_4513789,1017
15106,McClelland St,426897.0502,4508342.621,426897_4508342,1272
15109,900 South,424322.0,4511422.0,424322_4511422,1128
15110,Fair Park,422035.0,4513780.0,422035_4513780,1020
15119,Old Greek Town,423534.0,4513034.0,423534_4513034,1065
15122,Jackson,422906.0,4513778.0,422906_4513778,1022
15126,Planetarium,423848.0,4513276.0,423848_4513276,1070
15127,Courthouse,424766.0,4512379.0,424766_4512379,1135
15131,Arena,423915.0,4513527.0,423915_4513527,1028
15133,Gallivan Plaza,424766.0,4512872.0,424766_4512872,1077
15134,Library,425300.0,4512542.0,425300_4512542,1147
15135,Temple Square,424508.0,4513514.0,424508_4513514,1032
15136,City Center,424769.0,4513356.0,424769_4513356,1034
15138,Trolley,426277.0,4512521.0,426277_4512521,1158
15139,900 East,426923.0,4512528.0,426923_4512528,1161
15143,Stadium,428073.0,4512469.0,428073_4512469,1051
15147,University South Cam,428961.0,4512319.0,428961_4512319,1051
15148,Fort Douglas,429519.0,4512697.0,429519_4512697,1052
15149,University Medical C,429459.0,4513376.0,429459_4513376,1007
50011,Payson,434066.7348,4431364.791,434066_4431364,3325
50013,Payson,435292.4063,4431700.19,435292_4431700,3341
50014,Payson North,438329.2654,4435398.644,438329_4435398,3334
50015,Payson,441171.4337,4438929.899,441171_4438929,3202
50016,SF,442158.4515,4440093.249,442158_4440093,3157
50019,Springville,445692.2074,4445639.023,445692_4445639,3079
50024,Provo,443771.3641,4452975.47,443771_4452975,3001
50029,Orem,438356.2813,4459074.432,438356_4459074,2882
50030,Vineyard,436331.2561,4462640.923,436331_4462640,2792
50035,AF,430424.0464,4469659.94,430424_4469659,2728
50040,Lehi,423964.9278,4475360.891,423964_4475360,2605
55000,Payson,434690.4442,4431444.464,434690_4431444,3342
